sector|month|day|hour|hum_value|temp_value|co_value|no2_value|voc_value|so2_value|pm2_5_value|station_num|factory_num|construction_num|pm10_value
1|8|8|20|0.301698|0.744728|0.772725|0.427593|0.162600|0.233714|0.084848|0.500000|1.000000|0.000000|0.092624
1|8|8|21|0.351648|0.730577|1.000000|0.407407|0.008969|0.142857|0.120000|0.500000|1.000000|0.000000|0.132075
1|8|8|22|0.428571|0.682679|0.500000|0.518519|0.042281|0.285714|0.113333|0.500000|1.000000|0.000000|0.132075
1|8|8|23|0.428571|0.682679|0.500000|0.518519|0.042281|0.285714|0.113333|0.500000|1.000000|0.000000|0.132075
1|8|9|0|0.428571|0.682679|0.500000|0.518519|0.042281|0.285714|0.113333|0.500000|1.000000|0.000000|0.132075
1|8|9|1|0.428571|0.682679|0.500000|0.518519|0.042281|0.285714|0.113333|0.500000|1.000000|0.000000|0.132075
1|8|9|2|0.450549|0.657622|0.500000|0.514407|0.268916|0.301571|0.176296|0.500000|1.000000|0.000000|0.180294
1|8|9|3|0.450549|0.657622|0.500000|0.514407|0.268916|0.301571|0.176296|0.500000|1.000000|0.000000|0.180294
1|8|9|4|0.516484|0.681482|1.000000|0.451852|0.011531|0.171429|0.601333|0.500000|1.000000|0.000000|0.582390
1|8|9|5|0.516484|0.681482|1.000000|0.451852|0.011531|0.171429|0.601333|0.500000|1.000000|0.000000|0.582390
1|8|9|6|0.516484|0.662722|1.000000|0.444444|0.006406|0.428571|0.293333|0.500000|1.000000|0.000000|0.295597
1|8|9|7|0.516484|0.662722|1.000000|0.444444|0.006406|0.428571|0.293333|0.500000|1.000000|0.000000|0.295597
1|8|9|8|0.516484|0.662722|1.000000|0.444444|0.006406|0.428571|0.293333|0.500000|1.000000|0.000000|0.295597
1|8|9|9|0.516484|0.662722|1.000000|0.444444|0.006406|0.428571|0.293333|0.500000|1.000000|0.000000|0.295597
1|8|9|10|0.505495|0.666713|1.000000|0.407407|0.302370|0.428571|0.326667|0.500000|1.000000|0.000000|0.333333
1|8|9|11|0.384615|0.772487|1.000000|0.444444|0.038437|0.000000|0.440000|0.500000|1.000000|0.000000|0.465409
1|8|9|12|0.417582|0.744547|1.000000|0.481481|0.252402|0.571429|0.293333|0.500000|1.000000|0.000000|0.301887
1|8|9|13|0.483516|0.736564|1.000000|0.481481|0.057655|0.428571|0.306667|0.500000|1.000000|0.000000|0.314465
1|8|9|14|0.747253|0.568923|1.000000|0.407407|0.315183|0.000000|0.406667|0.500000|1.000000|0.000000|0.427673
1|8|9|15|0.725275|0.544974|1.000000|0.444444|0.525304|0.285714|0.073333|0.500000|1.000000|0.000000|0.075472
1|8|9|16|0.725275|0.544974|1.000000|0.444444|0.525304|0.285714|0.073333|0.500000|1.000000|0.000000|0.075472
1|8|9|17|0.656899|0.598415|0.861110|0.460889|0.345647|0.325429|0.285556|0.500000|1.000000|0.000000|0.285115
1|8|9|18|0.725275|0.544974|1.000000|0.444444|0.525304|0.285714|0.073333|0.500000|1.000000|0.000000|0.075472
1|8|9|19|0.560440|0.658730|1.000000|0.407407|0.005125|0.000000|0.160000|0.500000|1.000000|0.000000|0.163522
1|8|9|20|0.560440|0.658730|1.000000|0.407407|0.005125|0.000000|0.160000|0.500000|1.000000|0.000000|0.163522
1|8|9|21|0.560440|0.658730|1.000000|0.407407|0.005125|0.000000|0.160000|0.500000|1.000000|0.000000|0.163522
1|8|9|22|0.527473|0.642764|1.000000|0.444444|0.069186|0.285714|0.093333|0.500000|1.000000|0.000000|0.100629
1|8|9|23|0.552198|0.645259|0.250000|0.407407|0.163677|0.107143|0.150000|0.500000|1.000000|0.000000|0.158805
1|8|10|0|0.664546|0.615560|0.842105|0.423000|0.118547|0.157857|0.199649|0.500000|1.000000|0.000000|0.213174
